stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
Bützow,107837,249659,53.83715,11.998132,
Bützow,107837,477506,53.83704,11.997872,
Bützow Bahnhof,,107837,53.837006,11.997513,1
Celje,,569316,46.228558,15.26798,1
Celje,569316,195363,46.228558,15.26798,
Celle,553004,438815,52.620457,10.062468,
Celle Bahnhof,,553004,52.62075,10.064787,1
Ceska Trebova,,316870,49.897324,16.446808,1
Ceska Trebova,316870,605289,49.897324,16.446808,
Chemnitz Hbf,466980,454552,50.84013,12.930215,
Chemnitz Hbf,466980,457733,50.83933,12.930952,
Chemnitz Hbf,466980,509158,50.84002,12.930907,
Chemnitz Hbf,466980,63125,50.84004,12.930799,
"Chemnitz, Hauptbahnhof",,466980,50.83963,12.930692,1
Chur,,650330,46.853085,9.528938,1
Chur,650330,286581,46.853085,9.528938,
Coburg,,215485,50.262924,10.957326,1
Coburg,215485,170633,50.26347,10.957452,
Coburg,215485,542966,50.263447,10.957201,
Cottbus Hbf,407118,218709,51.751553,14.323517,
Cottbus Hbf,407118,571723,51.751488,14.323561,
"Cottbus, Hauptbahnhof",,407118,51.750984,14.324464,1
Crailsheim,40791,344342,49.138126,10.064572,
Crailsheim,40791,624765,49.13812,10.064814,
Crailsheim Bahnhof,,40791,49.137913,10.06432,1
Czechowice-Dziedzice,,319730,49.915104,19.00465,1
Czechowice-Dziedzice,319730,439833,49.915104,19.00465,
D-Flughafen Bf,,269262,51.292088,6.786979,1
Dagebüll Kirche,,305441,54.73058,8.729632,1
Dagebüll Kirche,305441,181501,54.73028,8.729485,
Dagebüll Mole,,246419,54.73011,8.690239,1
Dagebüll Mole,246419,490928,54.729908,8.690989,
Darmstadt Hauptbahnhof,,490230,49.87194,8.631148,1
Darmstadt Hbf,490230,444192,49.87304,8.629164,
Debica,,567369,50.054417,21.405565,1
Debica,567369,297175,50.054417,21.405565,
Decin hl.n.,,461040,50.773304,14.20111,1
Decin hl.n.,461040,333000,50.773415,14.201247,
Deezbüll,,531332,54.77697,8.818274,1
Deezbüll,531332,315505,54.77697,8.818274,
Delmenhorst,,666050,53.05278,8.629879,1
Delmenhorst,666050,33953,53.05279,8.629758,
Dessau Hbf,,113693,51.839867,12.234945,1
Dessau Hbf,113693,120047,51.839867,12.234945,
Deventer,,331986,52.257435,6.160506,1
Deventer,331986,434514,52.257435,6.160506,
Diepholz,,488619,52.6046,8.380249,1
Diepholz,488619,463452,52.604637,8.38013,
Diepholz,488619,648232,52.6046,8.380267,
Dillenburg,140162,533768,50.734905,8.294586,
Dillenburg Bahnhof,,140162,50.734905,8.294586,1
Doberlug-Kirchhain,424983,375556,51.620533,13.564268,
Doberlug-Kirchhain,424983,94133,51.62053,13.564161,
